block,timestamp,start_time,end_time,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
1,2026-03-25 00:00:00,2026-03-25 00:00:00,2026-03-25 00:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
2,2026-03-25 00:15:00,2026-03-25 00:15:00,2026-03-25 00:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
3,2026-03-25 00:30:00,2026-03-25 00:30:00,2026-03-25 00:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
4,2026-03-25 00:45:00,2026-03-25 00:45:00,2026-03-25 01:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
5,2026-03-25 01:00:00,2026-03-25 01:00:00,2026-03-25 01:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
6,2026-03-25 01:15:00,2026-03-25 01:15:00,2026-03-25 01:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
7,2026-03-25 01:30:00,2026-03-25 01:30:00,2026-03-25 01:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
8,2026-03-25 01:45:00,2026-03-25 01:45:00,2026-03-25 02:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
9,2026-03-25 02:00:00,2026-03-25 02:00:00,2026-03-25 02:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
10,2026-03-25 02:15:00,2026-03-25 02:15:00,2026-03-25 02:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
11,2026-03-25 02:30:00,2026-03-25 02:30:00,2026-03-25 02:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
12,2026-03-25 02:45:00,2026-03-25 02:45:00,2026-03-25 03:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
13,2026-03-25 03:00:00,2026-03-25 03:00:00,2026-03-25 03:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
14,2026-03-25 03:15:00,2026-03-25 03:15:00,2026-03-25 03:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
15,2026-03-25 03:30:00,2026-03-25 03:30:00,2026-03-25 03:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
16,2026-03-25 03:45:00,2026-03-25 03:45:00,2026-03-25 04:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
17,2026-03-25 04:00:00,2026-03-25 04:00:00,2026-03-25 04:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
18,2026-03-25 04:15:00,2026-03-25 04:15:00,2026-03-25 04:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
19,2026-03-25 04:30:00,2026-03-25 04:30:00,2026-03-25 04:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
20,2026-03-25 04:45:00,2026-03-25 04:45:00,2026-03-25 05:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
21,2026-03-25 05:00:00,2026-03-25 05:00:00,2026-03-25 05:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
22,2026-03-25 05:15:00,2026-03-25 05:15:00,2026-03-25 05:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
23,2026-03-25 05:30:00,2026-03-25 05:30:00,2026-03-25 05:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
24,2026-03-25 05:45:00,2026-03-25 05:45:00,2026-03-25 06:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
25,2026-03-25 06:00:00,2026-03-25 06:00:00,2026-03-25 06:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
26,2026-03-25 06:15:00,2026-03-25 06:15:00,2026-03-25 06:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
27,2026-03-25 06:30:00,2026-03-25 06:30:00,2026-03-25 06:45:00,0.0,PRE_START,0.0,0.0,0.11,0.11,0.11
28,2026-03-25 06:45:00,2026-03-25 06:45:00,2026-03-25 07:00:00,0.0,PRE_START,0.0,0.0,0.96,0.96,0.96
29,2026-03-25 07:00:00,2026-03-25 07:00:00,2026-03-25 07:15:00,0.0,PRE_START,0.0,0.0,2.05,2.05,2.05
30,2026-03-25 07:15:00,2026-03-25 07:15:00,2026-03-25 07:30:00,2.601,CONDITION_3,2.601,2.601,3.29,3.29,3.29
31,2026-03-25 07:30:00,2026-03-25 07:30:00,2026-03-25 07:45:00,4.23,CONDITION_3,4.204,4.204,4.52,4.52,4.52
32,2026-03-25 07:45:00,2026-03-25 07:45:00,2026-03-25 08:00:00,5.461,CONDITION_3,5.413,5.413,5.82,5.82,5.82
33,2026-03-25 08:00:00,2026-03-25 08:00:00,2026-03-25 08:15:00,6.726,CONDITION_3,6.668,6.668,7.17,7.17,7.17
